benchmark;shape;run;validation_time;extraction_time
tyrol;tyrol/lakebodyofwatershape.ttl;1;0.08893258700000217;0.09616123700000401
tyrol;tyrol/landmarksorhistoricalbuildingsshape.ttl;1;0.0983647569999988;0.10528113800000938
tyrol;tyrol/libraryshape.ttl;1;0.07816613399999994;0.0829282739999968
tyrol;tyrol/localbusinesshape.ttl;1;;
tyrol;tyrol/locationfeaturespecificationshape.ttl;1;29.18695263299999;30.683542709000008
tyrol;tyrol/movietheathershape.ttl;1;0.016373661000002926;0.01692051999999933
tyrol;tyrol/offershape.ttl;1;34.085136168999995;36.286043688999996
tyrol;tyrol/openinghoursspecificationshape.ttl;1;8.704013091000007;9.601882798999995
tyrol;tyrol/organizationshape.ttl;1;2.4673135219999978;2.543199794000003
tyrol;tyrol/parkshape.ttl;1;0.046671020000005115;0.048169888999993304
tyrol;tyrol/personshape.ttl;1;0.3510013839999999;0.3787237779999941
tyrol;tyrol/placeshape.ttl;1;59.29201041600001;63.17986511500001
tyrol;tyrol/postaladdressshape.ttl;1;53.11143905500002;53.252060871
tyrol;tyrol/ratingshape.ttl;1;0.10451605299999756;0.11130133200001069
tyrol;tyrol/restaurantshape.ttl;1;7.853113096000001;8.393734022000004
tyrol;tyrol/serviceshape.ttl;1;0.3129544820000092;0.32595635899998854
tyrol;tyrol/skiresortshape.ttl;1;2.327127914000002;2.5068115650000067
tyrol;tyrol/sportsactivityshape.ttl;1;14.268705707999999;15.201525400999998
tyrol;tyrol/storeshape.ttl;1;0.005113299000001348;0.004964749999999185
tyrol;tyrol/touristattractionshape.ttl;1;1.0084541109999918;1.0777201790000106
tyrol;tyrol/touristinformationcentershape.ttl;1;0.2569961960000029;0.26789439600000264
tyrol;tyrol/travelactionshape.ttl;1;0.5815136959999876;0.5968801719999988
tyrol;tyrol/wineryshape.ttl;1;0.159224437000006;0.1657921879999975
tyrol;tyrol/aggregateratingshape.ttl;2;0.0014917980000035413;0.0014809430000042312
tyrol;tyrol/airportshape.ttl;2;0.07102077600001167;0.0738989089999933
tyrol;tyrol/amusementparkshape.ttl;2;0.1322829039999931;0.14066319399999827
tyrol;tyrol/automotivebusinessshape.ttl;2;0.5783792520000048;0.5986752100000103
tyrol;tyrol/bakeryshape.ttl;2;0.6765563519999915;0.7097551060000029
tyrol;tyrol/bankorcreditunionshape.ttl;2;0.28009859499999834;0.29508315199998947
tyrol;tyrol/barorpubshape.ttl;2;3.6504758549999963;3.8385041220000033
tyrol;tyrol/beachshape.ttl;2;0.04629234499999768;0.04868903100000921
tyrol;tyrol/bodyofwatershape.ttl;2;0.14139357200001257;0.15892588900000248
tyrol;tyrol/bowlingalleyshape.ttl;2;0.0049968649999954096;0.004863944000007336
tyrol;tyrol/busstationshape.ttl;2;0.025167285999998512;0.026245754999990822
tyrol;tyrol/busstop.ttl;2;0.1251794189999913;0.134849549000009
tyrol;tyrol/cafeorcoffeeshopshape.ttl;2;3.253030469999999;3.3826686639999934
tyrol;tyrol/campgroundshape.ttl;2;0.20223123700000656;0.21509501500000283
tyrol;tyrol/childcarepath.ttl;2;0.3304696679999921;0.338608727999997
tyrol;tyrol/churchshape.ttl;2;0.428677522000001;0.45651469499999564
tyrol;tyrol/cityhallshape.ttl;2;0.07868780799999797;0.08154343100000006
tyrol;tyrol/civicstructureshape.ttl;2;2.2800763209999957;2.40563753699999
tyrol;tyrol/contactpointshape.ttl;2;7.920206621999995;8.149927842000011
tyrol;tyrol/drycleaningorlaundryshape.ttl;2;0.9011713410000084;0.9391227939999993
tyrol;tyrol/educationalorganizationshape.ttl;2;0.5325495860000018;0.5639750160000006
tyrol;tyrol/emergencyserviceshape.ttl;2;0.13180196499999397;0.13943973599999993
tyrol;tyrol/entertainmentbusinessshape.ttl;2;1.418126411000003;1.3205406729999964
tyrol;tyrol/eventshape.ttl;2;;
tyrol;tyrol/financialserviceshape.ttl;2;0.5901328520000106;0.6286499379999952
tyrol;tyrol/foodestablishmentshape.ttl;2;0.9502582840000002;0.9622809050000001
tyrol;tyrol/geocoordinatesshape.ttl;2;43.59779338;45.329868433000016
tyrol;tyrol/geoshapeshape.ttl;2;2.7058391380000018;2.832573212
tyrol;tyrol/golfcourseshape.ttl;2;0.24952180500000054;0.26591770400000314
tyrol;tyrol/governmentbuildingshape.ttl;2;0.3394015669999959;0.3579460600000033
tyrol;tyrol/healthandbeautybusinessshape.ttl;2;1.2754264170000056;1.3339493860000005
tyrol;tyrol/hotelshape.ttl;2;;
tyrol;tyrol/icecreamshopshape.ttl;2;0.1201749250000006;0.12535430900000222
tyrol;tyrol/imageobjectshape.ttl;2;211.30195982099997;208.58805536100002
tyrol;tyrol/lakebodyofwatershape.ttl;2;0.08762690999999734;0.09332539100000758
tyrol;tyrol/landmarksorhistoricalbuildingsshape.ttl;2;0.09861524800000154;0.10523423000000776
tyrol;tyrol/libraryshape.ttl;2;0.07732931099999973;0.08182520900000156
tyrol;tyrol/localbusinesshape.ttl;2;;
tyrol;tyrol/locationfeaturespecificationshape.ttl;2;29.525466250999997;31.002453977000002
tyrol;tyrol/movietheathershape.ttl;2;0.016341793000009375;0.01677366399999869
tyrol;tyrol/offershape.ttl;2;33.97158094199999;35.70161275599999
tyrol;tyrol/openinghoursspecificationshape.ttl;2;8.864637670000008;9.42825748
tyrol;tyrol/organizationshape.ttl;2;2.442614560999999;2.5110724900000037
tyrol;tyrol/parkshape.ttl;2;0.047193702999990705;0.04821697699999561
tyrol;tyrol/personshape.ttl;2;0.34849870200000055;0.3757342159999979
tyrol;tyrol/placeshape.ttl;2;59.919970677999984;64.365501146
tyrol;tyrol/postaladdressshape.ttl;2;52.272144337;53.575883652
tyrol;tyrol/ratingshape.ttl;2;0.1051476299999905;0.11188344400000005
tyrol;tyrol/restaurantshape.ttl;2;7.880044045999995;8.329578504000011
tyrol;tyrol/serviceshape.ttl;2;0.3041857209999961;0.3191548810000029
tyrol;tyrol/skiresortshape.ttl;2;2.3194843609999936;2.5061122679999954
tyrol;tyrol/sportsactivityshape.ttl;2;13.972627007;15.047942208999999
tyrol;tyrol/storeshape.ttl;2;0.0051016799999956675;0.005050001999990172
tyrol;tyrol/touristattractionshape.ttl;2;1.026751725000011;1.071404403999992
tyrol;tyrol/touristinformationcentershape.ttl;2;0.25332961099999807;0.2677666820000013
